eof,lat,lon,loading,variance_explained_pct
EOF1,-14.5,25.0,0.013550523668527603,99.758
EOF1,-14.5,25.5,0.013550237752497196,99.758
EOF1,-14.5,26.0,0.0135497460141778,99.758
EOF1,-14.5,26.5,0.013549878261983395,99.758
EOF1,-14.5,27.0,0.013550648465752602,99.758
EOF1,-14.5,27.5,0.013551279902458191,99.758
EOF1,-14.5,28.0,0.013551558367908001,99.758
EOF1,-14.5,28.5,0.013552365824580193,99.758
EOF1,-14.5,29.0,0.013553192839026451,99.758
EOF1,-14.5,29.5,0.013553899712860584,99.758
EOF1,-14.5,30.0,0.013554484583437443,99.758
EOF1,-14.5,30.5,0.013553223572671413,99.758
EOF1,-14.5,31.0,0.013552462682127953,99.758
EOF1,-14.5,31.5,0.013552273623645306,99.758
EOF1,-14.5,32.0,0.013551748357713223,99.758
EOF1,-14.5,32.5,0.013550523668527603,99.758
EOF1,-14.5,33.0,0.013549129478633404,99.758
EOF1,-14.5,33.5,0.013548789545893669,99.758
EOF1,-14.5,34.0,0.01354968175292015,99.758
EOF1,-14.5,34.5,0.013551371172070503,99.758
EOF1,-14.0,0.5,0.013544942252337933,99.758
EOF1,-14.0,1.0,0.013546175323426723,99.758
EOF1,-14.0,1.5,0.013547230511903763,99.758
EOF1,-14.0,2.0,0.01354781910777092,99.758
EOF1,-14.0,2.5,0.013547365553677082,99.758
EOF1,-14.0,3.0,0.013546822592616081,99.758
EOF1,-14.0,3.5,0.013546100817620754,99.758
EOF1,-14.0,4.0,0.013544580899178982,99.758
EOF1,-14.0,4.5,0.013542442582547665,99.758
EOF1,-14.0,5.0,0.013540079817175865,99.758
EOF1,-14.0,5.5,0.013537745922803879,99.758
EOF1,-14.0,6.0,0.013536612503230572,99.758
EOF1,-14.0,6.5,0.013535574078559875,99.758
EOF1,-14.0,7.0,0.013534313067793846,99.758
EOF1,-14.0,7.5,0.013532822020351887,99.758
EOF1,-14.0,8.0,0.013528430834412575,99.758
EOF1,-14.0,8.5,0.013523338362574577,99.758
EOF1,-14.0,9.0,0.013517607003450394,99.758
EOF1,-14.0,9.5,0.013515058904886246,99.758
EOF1,-14.0,10.0,0.01351739838719368,99.758
EOF1,-14.0,10.5,0.013517740182578564,99.758
EOF1,-14.0,11.0,0.013517821207642555,99.758
EOF1,-14.0,11.5,0.013530106283724308,99.758
EOF1,-14.0,12.0,0.013546103611588478,99.758
EOF1,-14.0,12.5,0.013553655706346035,99.758
EOF1,-14.0,13.0,0.013554816134274006,99.758
EOF1,-14.0,13.5,0.01355680264532566,99.758
EOF1,-14.0,14.0,0.013559510931372643,99.758
EOF1,-14.0,14.5,0.013559198938310146,99.758
EOF1,-14.0,15.0,0.01355630625039339,99.758
EOF1,-14.0,15.5,0.013556613586843014,99.758
EOF1,-14.0,16.0,0.013556761667132378,99.758
EOF1,-14.0,16.5,0.013556737452745438,99.758
EOF1,-14.0,17.0,0.013555923476815224,99.758
EOF1,-14.0,17.5,0.013556083664298058,99.758
EOF1,-14.0,18.0,0.013555743731558323,99.758
EOF1,-14.0,18.5,0.013554946519434452,99.758
EOF1,-14.0,19.0,0.01355467177927494,99.758
EOF1,-14.0,19.5,0.01355473231524229,99.758
EOF1,-14.0,20.0,0.013554560951888561,99.758
EOF1,-14.0,20.5,0.013554261066019535,99.758
EOF1,-14.0,21.0,0.013553096912801266,99.758
EOF1,-14.0,21.5,0.013551405631005764,99.758
EOF1,-14.0,22.0,0.01354939490556717,99.758
EOF1,-14.0,22.5,0.013547269627451897,99.758
EOF1,-14.0,23.0,0.013548235408961773,99.758
EOF1,-14.0,23.5,0.01354884821921587,99.758
EOF1,-14.0,24.0,0.013549251481890678,99.758
EOF1,-14.0,24.5,0.013549544848501682,99.758
EOF1,-14.0,25.0,0.013549977913498878,99.758
EOF1,-14.0,25.5,0.013550291769206524,99.758
EOF1,-14.0,26.0,0.01355033740401268,99.758
EOF1,-14.0,26.5,0.013550495728850365,99.758
EOF1,-14.0,27.0,0.013550943695008755,99.758
EOF1,-14.0,27.5,0.013551262207329273,99.758
EOF1,-14.0,28.0,0.013551540672779083,99.758
EOF1,-14.0,28.5,0.013552283868193626,99.758
EOF1,-14.0,29.0,0.013553167693316936,99.758
EOF1,-14.0,29.5,0.013553890399634838,99.758
EOF1,-14.0,30.0,0.013554444536566734,99.758
EOF1,-14.0,30.5,0.013553157448768616,99.758
